        73,   -0.5754399116D+04,    0.2135904124D+00,    0.1406079128D-04,    0.9841861574D-05,    0.5408804935D-08,  457
        74,   -0.5623413001D+04,    0.2148986964D+00,    0.1479636686D-04,    0.1013517168D-04,    0.5824132813D-08,  457
        75,   -0.5495408493D+04,    0.2162153011D+00,    0.1557039476D-04,    0.1043719847D-04,    0.6271334571D-08,  457
        76,   -0.5370317724D+04,    0.2175402761D+00,    0.1638488271D-04,    0.1074819921D-04,    0.6752854302D-08,  457
        77,   -0.5248074368D+04,    0.2188736714D+00,    0.1724194303D-04,    0.1106843954D-04,    0.7271323307D-08,  457
        78,   -0.5128613611D+04,    0.2202155371D+00,    0.1814379814D-04,    0.1139819247D-04,    0.7829574563D-08,  457
        79,   -0.5011872112D+04,    0.2215659236D+00,    0.1909278623D-04,    0.1173773868D-04,    0.8430657834D-08,  457
        80,   -0.4897787975D+04,    0.2229248813D+00,    0.2009136728D-04,    0.1208736693D-04,    0.9077856452D-08,  457
        81,   -0.4786300709D+04,    0.2242924609D+00,    0.2114212940D-04,    0.1244737451D-04,    0.9774705047D-08,  457
        82,   -0.4677351204D+04,    0.2256687131D+00,    0.2224779544D-04,    0.1281806738D-04,    0.1052500886D-07,  457
        83,   -0.4570881692D+04,    0.2270536889D+00,    0.2341123003D-04,    0.1319976080D-04,    0.1133286444D-07,  457
        84,   -0.4466835722D+04,    0.2284474394D+00,    0.2463544692D-04,    0.1359277894D-04,    0.1220268174D-07,  457
        85,   -0.4365158127D+04,    0.2298500159D+00,    0.2592361668D-04,    0.1399745491D-04,    0.1313920823D-07,  457
        86,   -0.4265794997D+04,    0.2312614697D+00,    0.2727907489D-04,    0.1441413196D-04,    0.1414755448D-07,  457
        87,   -0.4168693648D+04,    0.2326818524D+00,    0.2870533061D-04,    0.1484316337D-04,    0.1523322198D-07,  457
        88,   -0.4073802596D+04,    0.2341112156D+00,    0.3020607546D-04,    0.1528491216D-04,    0.1640213315D-07,  457
        89,   -0.3981071528D+04,    0.2355496111D+00,    0.3178519301D-04,    0.1573975240D-04,    0.1766066289D-07,  457
        90,   -0.3890451276D+04,    0.2369970908D+00,    0.3344676873D-04,    0.1620806869D-04,    0.1901567398D-07,  457
