 SPU,layer,hbot,soilhz,add
              1050_G, 214, -10.70,staro17_85p_M01KV03 
              1050_G, 215, -10.75,staro17_85p_M01KV03 
              1050_G, 216, -10.80,staro17_85p_M01KV03 
              1050_G, 217, -10.85,staro17_85p_M01KV03 
              1050_G, 218, -10.90,staro17_85p_M01KV03 
              1050_G, 219, -10.95,staro17_85p_M01KV03 
              1050_G, 220, -11.00,staro17_85p_M01KV03 
              1050_G, 221, -11.05,staro17_85p_M01KV03 
              1050_G, 222, -11.10,staro17_85p_M01KV03 
              1050_G, 223, -11.15,staro17_85p_M01KV03 
              1050_G, 224, -11.20,staro17_85p_M01KV03 
              1050_G, 225, -11.25,staro17_85p_M01KV03 
              1050_G, 226, -11.30,staro17_85p_M01KV03 
              1050_G, 227, -11.35,staro17_85p_M01KV03 
              1050_G, 228, -11.40,staro17_85p_M01KV03 
              1050_G, 229, -11.45,staro17_85p_M01KV03 
              1050_G, 230, -11.50,staro17_85p_M01KV03 
              1050_G, 231, -11.55,staro17_85p_M01KV03 
              1050_G, 232, -11.60,staro17_85p_M01KV03 
              1050_G, 233, -11.65,staro17_85p_M01KV03 
              1050_G, 234, -11.70,staro17_85p_M01KV03 
              1050_G, 235, -11.75,staro17_85p_M01KV03 
              1050_G, 236, -11.80,staro17_85p_M01KV03 
              1050_G, 237, -11.85,staro17_85p_M01KV03 
              1050_G, 238, -11.90,staro17_85p_M01KV03 
              1050_G, 239, -11.95,staro17_85p_M01KV03 
              1050_G, 240, -12.00,staro17_85p_M01KV03 
              1050_G, 241, -12.05,staro17_85p_M01KV03 
              1050_G, 242, -12.10,staro17_85p_M01KV03 
              1050_G, 243, -12.15,staro17_85p_M01KV03 
              1050_G, 244, -12.20,staro17_85p_M01KV03 
              1050_G, 245, -12.25,staro17_85p_M01KV03 
              1050_G, 246, -12.30,staro17_85p_M01KV03 
              1050_G, 247, -12.35,staro17_85p_M01KV03 
              1050_G, 248, -12.40,staro17_85p_M01KV03 
              1050_G, 249, -12.45,staro17_85p_M01KV03 
              1050_G, 250, -12.50,staro17_85p_M01KV03 
              1050_G, 251, -12.55,staro17_85p_M01KV03 
              1050_G, 252, -12.60,staro17_85p_M01KV03 
              1050_G, 253, -12.65,staro17_85p_M01KV03 
              1050_G, 254, -12.70,staro17_85p_M01KV03 
              1050_G, 255, -12.75,staro17_85p_M01KV03 
              1050_G, 256, -12.80,staro17_85p_M01KV03 
              1050_G, 257, -12.85,staro17_85p_M01KV03 
              1050_G, 258, -12.90,staro17_85p_M01KV03 
              1050_G, 259, -12.95,staro17_85p_M01KV03 
              1050_G, 260, -13.00,staro17_85p_M01KV03 
              1050_G, 261, -13.05,staro17_85p_M01KV03 
              1050_G, 262, -13.10,staro17_85p_M01KV03 
              1050_G, 263, -13.15,staro17_85p_M01KV03 
              1050_G, 264, -13.20,staro17_85p_M01KV03 
              1050_G, 265, -13.25,staro17_85p_M01KV03 
              1050_G, 266, -13.30,staro17_85p_M01KV03 
              1050_G, 267, -13.35,staro17_85p_M01KV03 
              1050_G, 268, -13.40,staro17_85p_M01KV03 
              1050_G, 269, -13.45,staro17_85p_M01KV03 
              1050_G, 270, -13.50,staro17_85p_M01KV03 
              1050_G, 271, -13.55,staro17_85p_M01KV03 
              1050_G, 272, -13.60,staro17_85p_M01KV03 
              1050_G, 273, -13.65,staro17_85p_M01KV03 
              1050_G, 274, -13.70,staro17_85p_M01KV03 
              1050_G, 275, -13.75,staro17_85p_M01KV03 
              1050_G, 276, -13.80,staro17_85p_M01KV03 
              1050_G, 277, -13.85,staro17_85p_M01KV03 
              1050_G, 278, -13.90,staro17_85p_M01KV03 
              1050_G, 279, -13.95,staro17_85p_M01KV03 
              1050_G, 280, -14.00,staro17_85p_M01KV03 
              1050_G, 281, -14.05,staro17_85p_M01KV03 
              1050_G, 282, -14.10,staro17_85p_M01KV03 
              1050_G, 283, -14.15,staro17_85p_M01KV03 
              1050_G, 284, -14.20,staro17_85p_M01KV03 
              1050_G, 285, -14.25,staro17_85p_M01KV03 
              1050_G, 286, -14.30,staro17_85p_M01KV03 
              1050_G, 287, -14.35,staro17_85p_M01KV03 
              1050_G, 288, -14.40,staro17_85p_M01KV03 
              1050_G, 289, -14.45,staro17_85p_M01KV03 
              1050_G, 290, -14.50,staro17_85p_M01KV03 
              1050_G, 291, -14.55,staro17_85p_M01KV03 
              1050_G, 292, -14.60,staro17_85p_M01KV03 
              1050_G, 293, -14.65,staro17_85p_M01KV03 
              1050_G, 294, -14.70,staro17_85p_M01KV03 
              1050_G, 295, -14.75,staro17_85p_M01KV03 
              1050_G, 296, -14.80,staro17_85p_M01KV03 
              1050_G, 297, -14.85,staro17_85p_M01KV03 
              1050_G, 298, -14.90,staro17_85p_M01KV03 
              1050_G, 299, -14.95,staro17_85p_M01KV03 
              1050_G, 300, -15.00,staro17_85p_M01KV03 
              1050_G, 301, -15.05,staro17_85p_M01KV03 
              1050_G, 302, -15.10,staro17_85p_M01KV03 
              1050_G, 303, -15.15,staro17_85p_M01KV03 
              1050_G, 304, -15.20,staro17_85p_M01KV03 
              1050_G, 305, -15.25,staro17_85p_M01KV03 
              1050_G, 306, -15.30,staro17_85p_M01KV03 
              1050_G, 307, -15.35,staro17_85p_M01KV03 
              1050_G, 308, -15.40,staro17_85p_M01KV03 
              1050_G, 309, -15.45,staro17_85p_M01KV03 
              1050_G, 310, -15.50,staro17_85p_M01KV03 
              1050_G, 311, -15.55,staro17_85p_M01KV03 
              1050_G, 312, -15.60,staro17_85p_M01KV03 
              1050_G, 313, -15.65,staro17_85p_M01KV03 
              1050_G, 314, -15.70,staro17_85p_M01KV03 
              1050_G, 315, -15.75,staro17_85p_M01KV03 
              1050_G, 316, -15.80,staro17_85p_M01KV03 
              1050_G, 317, -15.85,staro17_85p_M01KV03 
              1050_G, 318, -15.90,staro17_85p_M01KV03 
              1050_G, 319, -15.95,staro17_85p_M01KV03 
              1050_G, 320, -16.00,staro17_85p_M01KV03 
              1050_G, 321, -16.05,staro17_85p_M01KV03 
              1050_G, 322, -16.10,staro17_85p_M01KV03 
              1050_G, 323, -16.15,staro17_85p_M01KV03 
              1050_G, 324, -16.20,staro17_85p_M01KV03 
              1050_G, 325, -16.25,staro17_85p_M01KV03 
              1050_G, 326, -16.30,staro17_85p_M01KV03 
              1050_G, 327, -16.35,staro17_85p_M01KV03 
