Row,Col,Cell_ID,Ag,Active_Cel,GhostNode,subgroup
42,42,5495,1,1,7,4
42,48,5501,1,1,9,5
42,49,5502,1,1,9,6
42,51,5504,1,1,9,6
42,53,5506,1,1,9,6
42,54,5507,1,1,11,3
42,55,5508,1,1,11,3
42,57,5510,1,1,11,3
42,58,5511,1,1,11,4
42,60,5513,1,1,11,4
42,61,5514,1,1,11,4
42,64,5517,1,1,11,5
43,34,5620,1,1,5,20
43,35,5621,1,1,7,4
43,36,5622,1,1,7,5
43,37,5623,1,1,7,5
43,39,5625,1,1,7,5
43,41,5627,1,1,7,6
43,43,5629,1,1,7,6
43,46,5632,1,1,9,7
43,47,5633,1,1,9,7
43,49,5635,1,1,9,7
43,50,5636,1,1,9,8
43,53,5639,1,1,9,8
43,56,5642,1,1,11,5
43,60,5646,1,1,11,5
43,62,5648,1,1,11,6
43,64,5650,1,1,11,6
44,35,5754,1,1,7,6
44,36,5755,1,1,7,7
44,37,5756,1,1,7,7
44,38,5757,1,1,7,7
44,40,5759,1,1,7,8
44,42,5761,1,1,7,8
44,48,5767,1,1,9,8
44,49,5768,1,1,9,9
44,52,5771,1,1,9,9
44,54,5773,1,1,11,6
44,56,5775,1,1,11,7
44,57,5776,1,1,11,7
44,58,5777,1,1,11,7
44,60,5779,1,1,11,8
44,61,5780,1,1,11,8
44,62,5781,1,1,11,8
44,63,5782,1,1,11,9
44,65,5784,1,1,11,9
45,35,5887,1,1,7,8
45,39,5891,1,1,7,9
45,40,5892,1,1,7,9
45,41,5893,1,1,7,9
45,42,5894,1,1,7,10
45,43,5895,1,1,7,10
45,44,5896,1,1,7,10
45,45,5897,1,1,7,11
45,46,5898,1,1,9,9
45,47,5899,1,1,9,10
45,48,5900,1,1,9,10
45,50,5902,1,1,9,10
45,53,5905,1,1,9,11
45,56,5908,1,1,11,9
45,58,5910,1,1,11,10
45,60,5912,1,1,11,10
45,61,5913,1,1,11,10
45,63,5915,1,1,11,11
45,64,5916,1,1,11,11
46,36,6021,1,1,7,11
46,37,6022,1,1,7,11
46,38,6023,1,1,7,12
46,39,6024,1,1,7,12
46,40,6025,1,1,7,12
46,42,6027,1,1,7,13
46,43,6028,1,1,7,13
46,46,6031,1,1,9,11
46,49,6034,1,1,9,11
46,50,6035,1,1,9,12
46,52,6037,1,1,9,12
46,53,6038,1,1,9,12
46,55,6040,1,1,11,11
46,56,6041,1,1,11,12
46,57,6042,1,1,11,12
46,58,6043,1,1,11,12
46,59,6044,1,1,11,13
46,60,6045,1,1,11,13
46,62,6047,1,1,11,13
