        17,   -0.2511886319D+06,    0.1364121362D-01,    0.1602508387D-10,    0.1254755787D-07,    0.0000000000D+00,  457
        18,   -0.1995262226D+06,    0.1443002790D-01,    0.3629120854D-10,    0.1820586206D-07,    0.0000000000D+00,  457
        19,   -0.1584893122D+06,    0.1533915725D-01,    0.8218638305D-10,    0.2641562820D-07,    0.1686919381D-14,  457
        20,   -0.1258925356D+06,    0.1638694601D-01,    0.1861205863D-09,    0.3832721186D-07,    0.4809322058D-14,  457
        21,   -0.9999999553D+05,    0.1759453081D-01,    0.4214861495D-09,    0.5560944540D-07,    0.1371088493D-13,  457
        22,   -0.7943281992D+05,    0.1898626253D-01,    0.9544737933D-09,    0.8068312806D-07,    0.3908729700D-13,  457
        23,   -0.6309573163D+05,    0.2059018984D-01,    0.2161388417D-08,    0.1170594496D-06,    0.1114266682D-12,  457
        24,   -0.5011872112D+05,    0.2243861200D-01,    0.4894230068D-08,    0.1698302784D-06,    0.3176277955D-12,  457
        25,   -0.3981071528D+05,    0.2456870847D-01,    0.1108181554D-07,    0.2463779590D-06,    0.9053423167D-12,  457
        26,   -0.3162277519D+05,    0.2702325188D-01,    0.2509002825D-07,    0.3574018507D-06,    0.2580217491D-11,  457
        27,   -0.2511886319D+05,    0.2985140870D-01,    0.5679874329D-07,    0.5184007661D-06,    0.7352348588D-11,  457
        28,   -0.1995262226D+05,    0.3310962691D-01,    0.1285582451D-06,    0.7518091504D-06,    0.2094541401D-10,  457
        29,   -0.1584893122D+05,    0.3686260052D-01,    0.2909044815D-06,    0.1037973783D-05,    0.5425103375D-10,  457
        30,   -0.1548816550D+05,    0.3726787095D-01,    0.3156513265D-06,    0.1144298170D-05,    0.7219478980D-10,  457
        31,   -0.1513561181D+05,    0.3767889936D-01,    0.3425020526D-06,    0.1187586900D-05,    0.8015689589D-10,  457
        32,   -0.1479108322D+05,    0.3809576614D-01,    0.3716353600D-06,    0.1232508991D-05,    0.8899660518D-10,  457
        33,   -0.1445439706D+05,    0.3851855274D-01,    0.4032451064D-06,    0.1279125747D-05,    0.9881057117D-10,  457
        34,   -0.1412537481D+05,    0.3894734166D-01,    0.4375415907D-06,    0.1327500753D-05,    0.1097060822D-09,  457
        35,   -0.1380384203D+05,    0.3938221647D-01,    0.4747529439D-06,    0.1377699941D-05,    0.1218022243D-09,  457
        36,   -0.1348962822D+05,    0.3982326183D-01,    0.5151266384D-06,    0.1429791688D-05,    0.1352311838D-09,  457
        37,   -0.1318256680D+05,    0.4027056346D-01,    0.5589311237D-06,    0.1483846893D-05,    0.1501396804D-09,  457
        38,   -0.1288249494D+05,    0.4072420820D-01,    0.6064576004D-06,    0.1539939115D-05,    0.1666905647D-09,  457
        39,   -0.1258925356D+05,    0.4118428398D-01,    0.6580219438D-06,    0.1598144583D-05,    0.1850645898D-09,  457
        40,   -0.1230268716D+05,    0.4165087984D-01,    0.7139667894D-06,    0.1658542343D-05,    0.2054623678D-09,  457
        41,   -0.1202264381D+05,    0.4212408595D-01,    0.7746637936D-06,    0.1721214427D-05,    0.2281065630D-09,  457
        42,   -0.1174897502D+05,    0.4260399361D-01,    0.8405160858D-06,    0.1786245835D-05,    0.2532442981D-09,  457
        43,   -0.1148153570D+05,    0.4309069525D-01,    0.9119609252D-06,    0.1853724670D-05,    0.2811498366D-09,  457
        44,   -0.1122018404D+05,    0.4358428444D-01,    0.9894725823D-06,    0.1923742286D-05,    0.3121275543D-09,  457
