total_inner_iterations,totim,kper,kstp,nouter,ninner,solution_inner_dvmax,solution_inner_dvmax_model,solution_inner_dvmax_node,solution_inner_rmax,solution_inner_rmax_model,solution_inner_rmax_node,solution_inner_alpha,solution_inner_omega
1269,.7521294062921178E-03,1,711,1,2,-.1767897599789386E-15,1,1,-.2012260005058289E-16,1,6,0.6172389E-12,0.4965443E-17
1270,.7521294062921178E-03,1,711,2,1,-.4422408202299490E-25,1,9,-.7815970092638692E-13,1,4,0.4621370E-10,0.4621370E-10
1271,.7897358766067238E-03,1,712,1,1,-.3008517883252702E-03,1,1,.3716645047278017E-14,1,2,1.000000,0.6167796E-12
1272,.7897358766067238E-03,1,712,1,2,-.1855596463695198E-15,1,1,-.2567400725054083E-16,1,5,0.6167796E-12,0.8261566E-17
1273,.7897358766067238E-03,1,712,2,1,.4298099287599969E-25,1,3,-.6039613253624406E-13,1,3,0.2785328E-10,0.2785328E-10
1274,.8292226704370600E-03,1,713,1,1,-.3158943639854598E-03,1,1,.3718379770753993E-14,1,4,1.000000,0.6166661E-12
1275,.8292226704370600E-03,1,713,1,2,-.1948193538734400E-15,1,1,-.3747031322580226E-16,1,2,0.6166661E-12,0.1049514E-16
1276,.8292226704370600E-03,1,713,2,1,-.5028819230674932E-25,1,1,.4973799150019314E-13,1,4,0.3029754E-10,0.3029754E-10
1277,.8706838039589131E-03,1,714,1,1,-.3316890749029116E-03,1,1,.3724451302919908E-14,1,3,1.000000,0.6168344E-12
1278,.8706838039589131E-03,1,714,1,2,-.2045890865340054E-15,1,1,.2359212725159250E-16,1,3,0.6168344E-12,0.5290873E-17
1279,.8706838039589131E-03,1,714,2,1,.3266745549133518E-25,1,2,.5684341885772547E-13,1,6,0.2711431E-10,0.2711431E-10
1280,.9142179941568589E-03,1,715,1,1,-.3482735248906164E-03,1,1,.3718379770753991E-14,1,1,1.000000,0.6171231E-12
1281,.9142179941568589E-03,1,715,1,2,-.2148688850625343E-15,1,1,.1665327755584325E-16,1,2,0.6171231E-12,0.4857199E-17
1282,.9142179941568589E-03,1,715,2,1,-.1528834753591840E-24,1,1,.7105427356646190E-13,1,9,0.6718892E-10,0.6718892E-10
1283,.9599288938647018E-03,1,716,1,1,-.3656871992476996E-03,1,1,.3716645047278016E-14,1,3,1.000000,0.6170103E-12
1284,.9599288938647018E-03,1,716,1,2,-.2255911826056509E-15,1,1,-.2636782852981893E-16,1,2,0.6170103E-12,0.7719524E-17
1285,.9599288938647018E-03,1,716,2,1,.9206796458388235E-25,1,3,-.7815970092759538E-13,1,3,0.3848299E-10,0.3848299E-10
