,uzfcell,grdcode,row,col,hru_id,weight
981,353,1427,18,50,17,0.04033338806482752
983,354,1428,18,51,17,0.040333402497274275
985,355,1429,18,52,17,0.040358157420263475
957,356,1430,18,53,17,0.040333019290208785
958,357,1431,18,54,17,0.02687770521722412
459,357,1431,18,54,9,0.010834091917016763
460,358,1432,18,55,9,0.03254760238051778
461,359,1433,18,56,9,0.03247051099202328
206,359,1433,18,56,6,1.2036983793705675e-07
462,360,1434,18,57,9,0.003604095532885146
207,360,1434,18,57,6,0.026563580652394128
687,361,1435,18,58,14,0.001470042617663314
256,361,1435,18,58,7,0.004590698019618606
208,361,1435,18,58,6,0.019961081770765034
257,362,1436,18,59,7,0.009169691500882381
688,362,1436,18,59,14,0.007275521760480517
258,363,1437,18,60,7,0.002305426392496017
689,363,1437,18,60,14,0.011615594741621119
690,364,1438,18,61,14,0.013105695198024722
691,365,1439,18,62,14,0.013072636415222374
765,366,1440,18,63,14,0.013073366188588518
766,367,1441,18,64,14,0.008749441259658554
598,367,1441,18,64,11,0.007623933915258657
600,368,1442,18,65,11,0.022887664425234083
767,368,1442,18,65,14,5.229172315882445e-09
601,369,1443,18,66,11,0.022886682355419515
602,370,1444,18,67,11,0.02294220764686163
603,371,1445,18,68,11,0.02034802829284444
193,371,1445,18,68,5,0.008453600679919881
880,371,1445,18,68,15,2.6565476092647003e-07
605,372,1446,18,69,11,4.1848854167200955e-08
881,372,1446,18,69,15,0.009730204223119418
194,372,1446,18,69,5,7.397395946625336e-07
442,372,1446,18,69,8,0.003654916098311384
443,373,1447,18,70,8,0.010982265826317929
444,374,1448,18,71,8,0.010955687761669799
360,375,1449,18,72,8,0.010955687761661616
362,376,1450,18,73,8,0.010982265826340275
397,377,1451,18,74,8,0.0036514346973712834
864,377,1451,18,74,15,0.009735012593837772
865,378,1452,18,75,15,0.01459252735902333
399,378,1452,18,75,8,6.807286008560496e-06
866,379,1453,18,76,15,0.001620717187754601
401,379,1453,18,76,8,0.009765615547371221
402,380,1454,18,77,8,0.010955791852487483
404,381,1455,18,78,8,0.007292245862531234
139,381,1455,18,78,4,0.00613724784783672
140,382,1456,18,79,4,0.016349806284745402
406,382,1456,18,79,8,0.0012237374865028757
141,383,1457,18,80,4,0.018355200178098132
1011,384,1493,19,35,18,0.05690740601077265
1012,385,1494,19,36,18,0.056880303335320785
1013,386,1495,19,37,18,0.056911357783161566
1014,387,1496,19,38,18,0.05692721777001849
933,388,1497,19,39,16,0.009764199073133672
1015,388,1497,19,39,18,0.03157875858466847
934,389,1498,19,40,16,0.02197522028781671
935,390,1499,19,41,16,0.021938017329359877
936,391,1500,19,42,16,0.021952593656399413
905,392,1501,19,43,16,0.021975218528309526
907,393,1502,19,44,16,0.021937259959407086
909,394,1503,19,45,16,0.021953074794815678
910,395,1504,19,46,16,0.02197474348029808
969,396,1505,19,47,17,0.004486378239762442
911,396,1505,19,47,16,0.01949815235156238
912,397,1506,19,48,16,0.0024262299454952145
971,397,1506,19,48,17,0.03589889805031782
972,398,1507,19,49,17,0.0404040601441191
973,399,1508,19,50,17,0.04033302812394381
975,400,1509,19,51,17,0.040345150155533575
1105,401,1510,19,52,20,2.2123466329741154e-05
977,401,1510,19,52,17,0.04039023934936869
954,402,1511,19,53,17,0.040328312467664745
1094,402,1511,19,53,20,2.0648683657977757e-06
955,403,1512,19,54,17,0.04030708908064864
455,403,1512,19,54,9,2.6526734909178465e-05
1095,403,1512,19,54,20,5.389369943478662e-06
1096,404,1513,19,55,20,3.047742573042219e-08
456,404,1513,19,55,9,0.03245145981204319
956,404,1513,19,55,17,8.681020166378418e-06
1155,404,1513,19,55,21,3.1692876562563895e-05
457,405,1514,19,56,9,0.03247033328796238
204,406,1515,19,57,6,0.010003389576685272
681,406,1515,19,57,14,0.0029040265079163215
458,406,1515,19,57,9,0.010813496933251492
1037,406,1515,19,57,19,0.002813271056866297
205,407,1516,19,58,6,0.0033143784653942997
682,407,1516,19,58,14,0.01162650925512362
683,408,1517,19,59,14,0.013073366188632085
684,409,1518,19,60,14,0.013077466405234715
685,410,1519,19,61,14,0.013077178625418689
686,411,1520,19,62,14,0.013073247705277027
762,412,1521,19,63,14,0.013077178625427703
763,413,1522,19,64,14,0.0130779083988284
764,414,1523,19,65,14,2.001284962973691e-06
594,414,1523,19,65,11,0.02288239867516761
595,415,1524,19,66,11,0.022935547664651112
596,416,1525,19,67,11,0.02289249746719849
597,417,1526,19,68,11,0.022885723074753492
877,417,1526,19,68,15,7.455224864343664e-07
439,418,1527,19,69,8,0.003661731181668691
599,418,1527,19,69,11,0.0050704426583319485
878,418,1527,19,69,15,0.006516719257322767
879,419,1528,19,70,15,1.4013160870655565e-08
440,419,1528,19,70,8,0.010959452059747472
441,420,1529,19,71,8,0.010955076194425768
351,421,1530,19,72,8,0.010979583832292372
353,422,1531,19,73,8,0.009728950431306022
814,422,1531,19,73,15,0.0016393742494940093
355,423,1532,19,74,8,1.1689020417275147e-06
815,423,1532,19,74,15,0.014599540034580132
816,424,1533,19,75,15,0.01462599831775864
358,425,1534,19,76,8,0.0036395554254391397
817,425,1534,19,76,15,0.009761324355421194
818,426,1535,19,77,15,4.666048513714483e-07
361,426,1535,19,77,8,0.010954726097308758
363,427,1536,19,78,8,0.010974508628520759
136,428,1537,19,79,4,0.00203011578835021
398,428,1537,19,79,8,0.009751798757632357
400,429,1538,19,80,8,0.0012181219177682355
137,429,1538,19,80,4,0.016314055619883566
138,430,1539,19,81,4,0.018358759682449356
1244,431,1572,20,33,23,0.005553787863481793
1016,431,1572,20,33,18,0.05063469170383796
1004,432,1573,20,34,18,0.0569512752877788
1006,433,1574,20,35,18,0.05692598962778846
1269,434,1575,20,36,24,5.0059011090620226e-05
1007,434,1575,20,36,18,0.05697686719306537
1270,435,1576,20,37,24,3.0456399437004775e-08
1008,435,1576,20,37,18,0.05696506052851279
1009,436,1577,20,38,18,0.05692598506202105
929,437,1578,20,39,16,0.007319466682093103
1010,437,1578,20,39,18,0.03796812301925236
930,438,1579,20,40,16,0.02193706418818342
931,439,1580,20,41,16,0.021937534431508903
932,440,1581,20,42,16,0.021950466361625783
897,441,1582,20,43,16,0.02193753443158201
899,442,1583,20,44,16,0.021937064188167033
901,443,1584,20,45,16,0.021991241450999236
903,444,1585,20,46,16,0.021936035391168937
904,445,1586,20,47,16,0.021938285711174097
906,446,1587,20,48,16,0.019540310773475657
965,446,1587,20,48,17,0.004506720791609127
908,447,1588,20,49,16,0.0024553070022443006
966,447,1588,20,49,17,0.03581736505573552
967,448,1589,20,50,17,0.04033338806469311
968,449,1590,20,51,17,0.026928096449836604
1103,449,1590,20,51,20,0.009873221811284954
970,450,1591,20,52,17,0.004462586212445518
1104,450,1591,20,52,20,0.02622672746563502
1091,451,1592,20,53,20,0.029476935316212996
952,451,1592,20,53,17,1.9522105005943523e-05
1152,452,1593,20,54,21,0.005345280528223514
1092,452,1593,20,54,20,0.02620277307717971
953,452,1593,20,54,17,6.10579523259483e-05
1093,453,1594,20,55,20,8.956741145979968e-06
1033,453,1594,20,55,19,9.409434894297183e-07
1153,453,1594,20,55,21,0.03702659154928533
452,453,1594,20,55,9,0.007196094526398232
453,454,1595,20,56,9,0.007236042576139667
1034,454,1595,20,56,19,0.0198021331330877
1154,454,1595,20,56,21,2.2448321154598928e-08
454,455,1596,20,57,9,1.8305495310893183e-05
676,455,1596,20,57,14,0.0029039306612286576
1035,455,1596,20,57,19,0.019867467613744035
677,456,1597,20,58,14,0.013072050603032005
1036,456,1597,20,58,19,2.33111137179226e-06
678,457,1598,20,59,14,0.013073249520045618
679,458,1599,20,60,14,0.013105536104487512
680,459,1600,20,61,14,0.013072636415222374
758,460,1601,20,62,14,0.013073366188588518
759,461,1602,20,63,14,0.013105250139492283
587,462,1603,20,64,11,0.0025431201982215627
760,462,1603,20,64,14,0.011620577738576226
761,463,1604,20,65,14,2.7677231525221956e-07
589,463,1604,20,65,11,0.022886202836521433
590,464,1605,20,66,11,0.022900449359154165
591,465,1606,20,67,11,0.022886684190987314
592,466,1607,20,68,11,0.022882460879737533
1230,466,1607,20,68,22,9.065856022079356e-06
1231,467,1608,20,69,22,0.016436158518489615
874,467,1608,20,69,15,0.006476191035121502
593,467,1608,20,69,11,0.005097458945908722
875,468,1609,20,70,15,0.004879057340657445
1232,468,1609,20,70,22,1.4630873973627498e-08
437,468,1609,20,70,8,0.007294517690794316
876,469,1610,20,71,15,2.6625471813770278e-06
438,469,1610,20,71,8,0.010953794123337347
344,470,1611,20,72,8,0.006082789666613384
806,470,1611,20,72,15,0.006502643337762056
808,471,1612,20,73,15,0.014599753979171272
346,471,1612,20,73,8,1.4828696207456142e-06
810,472,1613,20,74,15,0.014600599041332329
811,473,1614,20,75,15,0.014610381277856913
812,474,1615,20,76,15,0.0146015968224169
813,475,1616,20,77,15,0.006478197470203356
352,475,1616,20,77,8,0.006094435977815395
354,476,1617,20,78,8,0.010962383402287553
356,477,1618,20,79,8,0.01095517636493314
101,478,1619,20,80,4,0.002059254991191781
357,478,1619,20,80,8,0.009726275913023396
102,479,1620,20,81,4,0.01223150137690366
359,479,1620,20,81,8,0.003662078357341213
1241,480,1650,21,30,23,0.050285197210108865
1242,481,1651,21,31,23,0.050248397084668675
1243,482,1652,21,32,23,0.05023633956738003
996,483,1653,21,33,18,0.006295212807360205
1233,483,1653,21,33,23,0.04477696237692062
1234,484,1654,21,34,23,0.005601912053045445
998,484,1654,21,34,18,0.0505807316794009
1000,485,1655,21,35,18,0.04429621197327824
1266,485,1655,21,35,24,0.01316898612749485
1001,486,1656,21,36,18,0.006375122827714727
1267,486,1656,21,36,24,0.052648102866939106
1002,487,1657,21,37,18,0.03792428524517123
1268,487,1657,21,37,24,0.019753110155768416
